Rk,Player,Age,Tm,Pos,G,GS,MP,FG%,Dist.,% of FGA by Distance_2P,% of FGA by Distance_0-3,% of FGA by Distance_3-10,% of FGA by Distance_10-16,% of FGA by Distance_16-3P,% of FGA by Distance_3P,FG% by Distance_2P,FG% by Distance_0-3,FG% by Distance_3-10,FG% by Distance_10-16,FG% by Distance_16-3P,FG% by Distance_3P,% of FG Ast'd_2P,% of FG Ast'd_3P,Dunks_%FGA,Dunks_#,Corner 3s_%3PA,Corner 3s_3P%,Heaves_Att.,Heaves_Md.,Awards
212.0,Darius Songaila,31.0,NOH,C,75.0,1.0,1410.0,0.494,12.1,0.988,0.275,0.117,0.125,0.471,0.012,0.498,0.642,0.491,0.393,0.443,0.167,0.808,1.0,0.002,0.0,0.167,0.0,0.0,0.0,0
213.0,Antoine Wright,25.0,TOR,SF,67.0,10.0,1392.0,0.406,16.1,0.566,0.248,0.083,0.058,0.178,0.434,0.46,0.566,0.242,0.348,0.451,0.335,0.365,0.897,0.02,5.0,0.491,0.424,5.0,1.0,0
214.0,Wayne Ellington,22.0,MIN,SG,76.0,1.0,1384.0,0.424,16.4,0.638,0.196,0.078,0.063,0.301,0.362,0.441,0.648,0.457,0.357,0.319,0.395,0.484,0.797,0.013,6.0,0.253,0.463,1.0,0.0,0
215.0,Sonny Weems,23.0,TOR,SG,69.0,19.0,1368.0,0.515,11.7,0.967,0.297,0.129,0.144,0.397,0.033,0.528,0.669,0.508,0.394,0.478,0.133,0.654,0.5,0.096,39.0,0.133,0.0,2.0,0.0,0
216.0,Zydrunas Ilgauskas,34.0,CLE,C,64.0,6.0,1339.0,0.443,12.1,0.947,0.313,0.1,0.066,0.468,0.053,0.441,0.62,0.364,0.276,0.361,0.478,0.705,1.0,0.027,11.0,0.957,0.455,0.0,0.0,0
217.0,Serge Ibaka,20.0,OKC,PF,73.0,0.0,1323.0,0.543,6.3,0.995,0.468,0.219,0.168,0.141,0.005,0.543,0.624,0.531,0.452,0.404,0.5,0.65,1.0,0.159,51.0,0.5,1.0,0.0,0.0,0
218.0,Joel Anthony,27.0,MIA,C,80.0,16.0,1322.0,0.478,3.0,1.0,0.604,0.352,0.038,0.006,0.0,0.478,0.51,0.429,0.5,0.0,0.0,0.632,0.0,0.214,25.0,0.0,0.0,0.0,0.0,0
219.0,Sam Young,24.0,MEM,SF,80.0,1.0,1321.0,0.451,9.1,0.887,0.441,0.151,0.072,0.223,0.113,0.483,0.598,0.387,0.333,0.369,0.196,0.39,0.818,0.08,32.0,0.321,0.222,0.0,0.0,0
220.0,Ty Lawson,22.0,DEN,PG,65.0,8.0,1318.0,0.515,10.0,0.787,0.454,0.123,0.067,0.144,0.213,0.544,0.605,0.354,0.577,0.5,0.41,0.228,0.971,0.003,1.0,0.193,0.5,1.0,0.0,0
221.0,Maurice Evans,31.0,ATL,SF,79.0,5.0,1317.0,0.445,14.5,0.57,0.303,0.033,0.099,0.135,0.43,0.527,0.622,0.615,0.359,0.415,0.337,0.576,0.912,0.102,38.0,0.544,0.326,0.0,0.0,0
