Rk,Player,Age,Tm,Pos,G,GS,MP,FG%,Dist.,% of FGA by Distance_2P,% of FGA by Distance_0-3,% of FGA by Distance_3-10,% of FGA by Distance_10-16,% of FGA by Distance_16-3P,% of FGA by Distance_3P,FG% by Distance_2P,FG% by Distance_0-3,FG% by Distance_3-10,FG% by Distance_10-16,FG% by Distance_16-3P,FG% by Distance_3P,% of FG Ast'd_2P,% of FG Ast'd_3P,Dunks_%FGA,Dunks_#,Corner 3s_%3PA,Corner 3s_3P%,Heaves_Att.,Heaves_Md.,Awards
1.0,LeBron James,33.0,CLE,PF,82.0,82.0,3026.0,0.542,10.9,0.743,0.423,0.114,0.089,0.118,0.257,0.603,0.766,0.378,0.421,0.371,0.367,0.301,0.356,0.08,120.0,0.084,0.382,1.0,0.0,"MVP-2,AS,NBA1"
2.0,Khris Middleton,26.0,MIL,SF,82.0,82.0,2982.0,0.466,15.1,0.68,0.14,0.133,0.218,0.189,0.32,0.517,0.629,0.444,0.545,0.452,0.359,0.427,0.842,0.023,27.0,0.199,0.432,1.0,0.0,0
3.0,Andrew Wiggins,22.0,MIN,SF,82.0,82.0,2979.0,0.438,13.1,0.74,0.229,0.179,0.137,0.195,0.26,0.475,0.695,0.459,0.348,0.32,0.331,0.47,0.848,0.047,58.0,0.18,0.426,0.0,0.0,0
4.0,Bradley Beal,24.0,WAS,SG,82.0,82.0,2977.0,0.46,15.2,0.643,0.206,0.104,0.146,0.187,0.357,0.507,0.682,0.394,0.463,0.414,0.375,0.355,0.784,0.034,42.0,0.098,0.404,3.0,0.0,AS
5.0,Jrue Holiday,27.0,NOP,SG,81.0,81.0,2927.0,0.494,11.6,0.714,0.298,0.219,0.11,0.085,0.286,0.557,0.671,0.487,0.438,0.5,0.337,0.345,0.708,0.03,31.0,0.163,0.293,2.0,0.0,"DPOY-7,DEF1"
6.0,CJ McCollum,26.0,POR,SG,81.0,81.0,2923.0,0.443,14.4,0.684,0.183,0.153,0.169,0.179,0.316,0.465,0.547,0.4,0.469,0.431,0.397,0.218,0.624,0.007,11.0,0.124,0.356,0.0,0.0,0
7.0,Karl-Anthony Towns,22.0,MIN,C,82.0,82.0,2918.0,0.545,10.3,0.757,0.341,0.246,0.089,0.08,0.243,0.585,0.723,0.476,0.442,0.5,0.421,0.642,0.975,0.096,96.0,0.161,0.565,1.0,0.0,"AS,NBA3"
8.0,Russell Westbrook,29.0,OKC,PG,80.0,80.0,2914.0,0.449,11.3,0.807,0.375,0.072,0.151,0.209,0.193,0.485,0.611,0.306,0.382,0.394,0.298,0.17,0.433,0.043,57.0,0.055,0.333,1.0,0.0,"MVP-5,AS,NBA2"
9.0,Paul George,27.0,OKC,SF,79.0,79.0,2891.0,0.43,16.1,0.546,0.196,0.091,0.113,0.146,0.454,0.454,0.669,0.32,0.358,0.323,0.401,0.358,0.803,0.032,38.0,0.195,0.437,4.0,0.0,"DPOY-4,AS,NBA3"
10.0,Giannis Antetokounmpo,23.0,MIL,PF,75.0,75.0,2756.0,0.529,8.4,0.9,0.454,0.173,0.114,0.16,0.1,0.554,0.756,0.355,0.35,0.339,0.307,0.429,0.907,0.122,161.0,0.107,0.333,1.0,0.0,"MVP-6,AS,NBA2"
11.0,Kemba Walker,27.0,CHO,PG,80.0,80.0,2736.0,0.431,16.0,0.559,0.227,0.086,0.095,0.151,0.441,0.469,0.573,0.316,0.408,0.437,0.384,0.151,0.481,0.001,0.0,0.048,0.379,7.0,0.0,AS
12.0,Ben Simmons,21.0,PHI,PG,81.0,81.0,2732.0,0.545,5.5,0.989,0.462,0.325,0.174,0.028,0.011,0.551,0.744,0.417,0.316,0.393,0.0,0.344,0.0,0.161,148.0,0.0,0.0,8.0,0.0,ROY-1
13.0,Anthony Davis,24.0,NOP,PF,75.0,75.0,2727.0,0.534,9.2,0.889,0.374,0.201,0.157,0.157,0.111,0.558,0.744,0.483,0.428,0.339,0.34,0.701,0.909,0.154,211.0,0.093,0.4,3.0,0.0,"MVP-3,DPOY-3,AS,NBA1,DEF1"
14.0,Taj Gibson,32.0,MIN,PF,82.0,82.0,2726.0,0.577,6.5,0.953,0.482,0.236,0.117,0.118,0.047,0.595,0.752,0.466,0.442,0.368,0.2,0.711,1.0,0.125,89.0,0.771,0.222,1.0,0.0,0
15.0,DeMar DeRozan,28.0,TOR,SG,80.0,80.0,2711.0,0.456,12.9,0.797,0.199,0.168,0.243,0.186,0.203,0.494,0.676,0.456,0.442,0.403,0.31,0.263,0.674,0.021,28.0,0.289,0.301,4.0,0.0,"MVP-8,AS,NBA2"
16.0,Josh Richardson,24.0,MIA,SF,81.0,81.0,2689.0,0.451,14.9,0.62,0.198,0.141,0.119,0.163,0.38,0.495,0.611,0.464,0.457,0.41,0.378,0.397,0.953,0.025,20.0,0.25,0.345,1.0,0.0,0
17.0,Will Barton,27.0,DEN,SG,81.0,40.0,2683.0,0.452,13.3,0.589,0.284,0.201,0.057,0.047,0.411,0.51,0.661,0.377,0.407,0.292,0.37,0.392,0.731,0.04,38.0,0.09,0.421,3.0,0.0,6MOY-4
18.0,Damian Lillard,27.0,POR,PG,73.0,73.0,2670.0,0.439,15.6,0.555,0.271,0.088,0.079,0.117,0.445,0.501,0.552,0.452,0.429,0.473,0.361,0.18,0.436,0.009,11.0,0.04,0.4,0.0,0.0,"MVP-4,AS,NBA1"
19.0,Tobias Harris,25.0,2TM,PF,80.0,80.0,2668.0,0.46,13.8,0.636,0.212,0.183,0.156,0.084,0.364,0.488,0.645,0.402,0.455,0.343,0.411,0.459,0.869,0.048,53.0,0.227,0.446,1.0,0.0,0
19.0,Tobias Harris,25.0,DET,PF,48.0,48.0,1563.0,0.451,14.4,0.611,0.192,0.182,0.165,0.072,0.389,0.478,0.625,0.426,0.436,0.314,0.409,0.488,0.858,0.049,32.0,0.217,0.417,1.0,0.0,0
19.0,Tobias Harris,25.0,LAC,PF,32.0,32.0,1105.0,0.473,13.1,0.67,0.24,0.186,0.145,0.1,0.33,0.501,0.667,0.368,0.486,0.373,0.414,0.424,0.886,0.047,21.0,0.243,0.488,0.0,0.0,0
20.0,Donovan Mitchell,21.0,UTA,SG,79.0,71.0,2638.0,0.437,14.4,0.596,0.26,0.147,0.096,0.094,0.404,0.502,0.638,0.38,0.374,0.445,0.34,0.248,0.658,0.036,42.0,0.109,0.5,2.0,0.0,ROY-2
21.0,Harrison Barnes,25.0,DAL,PF,77.0,77.0,2634.0,0.445,13.2,0.724,0.21,0.205,0.136,0.172,0.276,0.478,0.63,0.44,0.354,0.438,0.357,0.366,0.832,0.031,34.0,0.255,0.412,3.0,0.0,0
22.0,Andre Drummond,24.0,DET,C,78.0,78.0,2625.0,0.529,3.2,0.988,0.659,0.271,0.056,0.002,0.012,0.536,0.649,0.314,0.286,0.0,0.0,0.545,0.0,0.188,144.0,0.0,0.0,4.0,0.0,"DPOY-15,AS"
23.0,Thaddeus Young,29.0,IND,PF,81.0,81.0,2607.0,0.487,9.2,0.791,0.387,0.256,0.073,0.076,0.209,0.531,0.626,0.466,0.349,0.439,0.32,0.565,0.948,0.052,40.0,0.331,0.317,2.0,0.0,0
24.0,Lou Williams,31.0,LAC,SG,79.0,19.0,2589.0,0.435,14.7,0.613,0.222,0.146,0.12,0.123,0.387,0.484,0.603,0.379,0.472,0.406,0.359,0.242,0.651,0.01,13.0,0.195,0.277,4.0,1.0,6MOY-1
25.0,E'Twaun Moore,28.0,NOP,SG,82.0,80.0,2586.0,0.508,13.1,0.638,0.225,0.234,0.093,0.087,0.362,0.556,0.642,0.574,0.429,0.417,0.425,0.641,0.984,0.013,11.0,0.405,0.5,0.0,0.0,0
26.0,Joe Ingles,30.0,UTA,SF,82.0,81.0,2578.0,0.467,18.0,0.354,0.164,0.103,0.04,0.046,0.646,0.516,0.678,0.392,0.379,0.333,0.44,0.359,0.848,0.008,6.0,0.295,0.526,1.0,0.0,0
27.0,Jamal Murray,20.0,DEN,PG,81.0,80.0,2565.0,0.451,15.1,0.589,0.194,0.158,0.116,0.121,0.411,0.502,0.621,0.452,0.48,0.395,0.378,0.398,0.77,0.03,27.0,0.126,0.455,5.0,0.0,0
28.0,Victor Oladipo,25.0,IND,SG,75.0,75.0,2552.0,0.477,14.5,0.677,0.267,0.082,0.095,0.231,0.323,0.528,0.69,0.364,0.438,0.439,0.371,0.28,0.553,0.052,61.0,0.099,0.581,2.0,0.0,"MVP-13,DPOY-15,MIP-1,AS,NBA3,DEF1"
29.0,James Harden,28.0,HOU,SG,72.0,72.0,2551.0,0.449,15.3,0.502,0.273,0.118,0.071,0.039,0.498,0.531,0.658,0.351,0.437,0.368,0.367,0.088,0.26,0.013,19.0,0.072,0.327,2.0,0.0,"MVP-1,AS,NBA1"
30.0,Robert Covington,27.0,PHI,SF,80.0,80.0,2532.0,0.413,18.9,0.342,0.178,0.069,0.031,0.063,0.658,0.497,0.664,0.379,0.192,0.302,0.369,0.81,0.97,0.037,27.0,0.113,0.387,4.0,0.0,"DPOY-8,DEF1"
31.0,Kyle Lowry,31.0,TOR,PG,78.0,78.0,2510.0,0.427,18.5,0.369,0.175,0.085,0.055,0.054,0.631,0.474,0.655,0.275,0.327,0.353,0.399,0.267,0.643,0.0,0.0,0.102,0.475,1.0,0.0,AS
