Rk,Player,Age,Tm,Pos,G,GS,MP,FG%,Dist.,% of FGA by Distance_2P,% of FGA by Distance_0-3,% of FGA by Distance_3-10,% of FGA by Distance_10-16,% of FGA by Distance_16-3P,% of FGA by Distance_3P,FG% by Distance_2P,FG% by Distance_0-3,FG% by Distance_3-10,FG% by Distance_10-16,FG% by Distance_16-3P,FG% by Distance_3P,% of FG Ast'd_2P,% of FG Ast'd_3P,Dunks_%FGA,Dunks_#,Corner 3s_%3PA,Corner 3s_3P%,Heaves_Att.,Heaves_Md.,Awards
32.0,LaMarcus Aldridge,32.0,SAS,C,75.0,75.0,2509.0,0.51,9.8,0.932,0.275,0.212,0.256,0.189,0.068,0.526,0.735,0.446,0.438,0.431,0.293,0.502,0.963,0.036,46.0,0.163,0.467,1.0,0.0,"MVP-9,AS,NBA2"
33.0,Klay Thompson,27.0,GSW,SG,73.0,73.0,2506.0,0.488,17.9,0.559,0.121,0.054,0.14,0.244,0.441,0.525,0.678,0.359,0.485,0.507,0.44,0.743,0.952,0.009,11.0,0.175,0.473,2.0,0.0,"DPOY-11,AS"
34.0,Carmelo Anthony,33.0,OKC,PF,78.0,78.0,2501.0,0.404,17.1,0.594,0.12,0.063,0.184,0.228,0.406,0.437,0.571,0.329,0.456,0.38,0.357,0.376,0.876,0.02,17.0,0.116,0.327,0.0,0.0,0
35.0,Steven Adams,24.0,OKC,C,76.0,76.0,2487.0,0.629,2.6,0.997,0.708,0.233,0.052,0.004,0.003,0.631,0.688,0.494,0.514,0.0,0.0,0.69,0.0,0.242,150.0,0.0,0.0,2.0,0.0,DPOY-12
36.0,Taurean Prince,23.0,ATL,SF,82.0,82.0,2464.0,0.426,14.9,0.531,0.234,0.139,0.095,0.063,0.469,0.461,0.61,0.39,0.355,0.23,0.385,0.381,0.898,0.024,21.0,0.223,0.48,0.0,0.0,0
37.0,Bojan BogdanoviÄ,28.0,IND,SF,80.0,80.0,2464.0,0.474,14.7,0.547,0.262,0.123,0.096,0.066,0.453,0.534,0.632,0.448,0.463,0.411,0.402,0.53,0.942,0.016,13.0,0.272,0.457,0.0,0.0,0
38.0,Dwight Howard,32.0,CHO,C,81.0,81.0,2463.0,0.555,4.7,0.992,0.568,0.28,0.053,0.092,0.008,0.559,0.7,0.392,0.313,0.333,0.143,0.57,1.0,0.21,174.0,0.0,0.0,2.0,0.0,0
39.0,Kentavious Caldwell-Pope,24.0,LAL,SG,74.0,74.0,2458.0,0.426,17.2,0.48,0.197,0.065,0.061,0.157,0.52,0.473,0.662,0.327,0.327,0.352,0.383,0.613,0.874,0.026,20.0,0.154,0.406,1.0,0.0,0
40.0,Jayson Tatum,19.0,BOS,SF,80.0,80.0,2443.0,0.475,12.7,0.71,0.32,0.107,0.096,0.188,0.29,0.492,0.629,0.258,0.438,0.42,0.434,0.565,0.924,0.071,51.0,0.227,0.564,0.0,0.0,ROY-3
41.0,Nikola JokiÄ,22.0,DEN,C,75.0,73.0,2443.0,0.499,11.9,0.723,0.225,0.287,0.113,0.096,0.277,0.538,0.674,0.5,0.456,0.443,0.396,0.542,0.892,0.009,8.0,0.075,0.571,3.0,0.0,0
42.0,Otto Porter Jr.,24.0,WAS,SF,77.0,77.0,2432.0,0.503,15.4,0.646,0.177,0.124,0.145,0.2,0.354,0.537,0.707,0.445,0.422,0.525,0.441,0.632,0.913,0.021,19.0,0.182,0.456,1.0,0.0,0
43.0,DeAndre Jordan,29.0,LAC,C,77.0,77.0,2424.0,0.645,1.3,1.0,0.843,0.145,0.005,0.002,0.0,0.645,0.702,0.357,0.333,0.0,0.0,0.665,0.0,0.401,212.0,0.0,0.0,0.0,0.0,0
44.0,Marc Gasol,33.0,MEM,C,73.0,73.0,2408.0,0.42,14.3,0.69,0.159,0.207,0.185,0.139,0.31,0.456,0.665,0.346,0.366,0.5,0.341,0.662,0.972,0.035,34.0,0.022,0.429,3.0,0.0,0
45.0,Kyle Kuzma,22.0,LAL,PF,77.0,37.0,2401.0,0.45,14.1,0.582,0.257,0.176,0.074,0.073,0.418,0.511,0.64,0.443,0.364,0.382,0.366,0.531,0.881,0.035,29.0,0.18,0.372,1.0,0.0,"ROY-4,6MOY-9"
46.0,Goran DragiÄ,31.0,MIA,PG,75.0,75.0,2378.0,0.45,12.3,0.721,0.269,0.171,0.175,0.106,0.279,0.481,0.63,0.38,0.436,0.342,0.37,0.273,0.784,0.0,0.0,0.18,0.37,2.0,0.0,AS
47.0,Dillon Brooks,22.0,MEM,SF,82.0,74.0,2350.0,0.44,13.7,0.658,0.275,0.142,0.118,0.123,0.342,0.484,0.651,0.445,0.341,0.295,0.356,0.533,0.904,0.021,14.0,0.182,0.333,7.0,0.0,0
48.0,Wilson Chandler,30.0,DEN,SF,74.0,71.0,2346.0,0.445,12.8,0.61,0.279,0.209,0.063,0.06,0.39,0.501,0.665,0.394,0.25,0.368,0.358,0.487,0.943,0.033,21.0,0.24,0.305,0.0,0.0,0
49.0,Kevin Durant,29.0,GSW,SF,68.0,68.0,2325.0,0.516,15.4,0.662,0.179,0.096,0.201,0.185,0.338,0.565,0.758,0.513,0.492,0.487,0.419,0.488,0.688,0.084,94.0,0.094,0.564,3.0,0.0,"MVP-7,DPOY-9,AS,NBA1"
50.0,Eric Bledsoe,28.0,2TM,PG,74.0,74.0,2322.0,0.473,12.8,0.636,0.295,0.122,0.098,0.122,0.364,0.545,0.702,0.372,0.474,0.388,0.347,0.28,0.744,0.019,18.0,0.167,0.4,1.0,0.0,0
50.0,Eric Bledsoe,28.0,PHO,PG,3.0,3.0,83.0,0.4,11.9,0.675,0.35,0.125,0.1,0.1,0.325,0.444,0.643,0.2,0.25,0.25,0.308,0.0,0.0,0.0,0.0,0.154,0.0,0.0,0.0,0
50.0,Eric Bledsoe,28.0,MIL,PG,71.0,71.0,2239.0,0.476,13.8,0.634,0.293,0.122,0.098,0.123,0.366,0.55,0.705,0.379,0.484,0.393,0.349,0.29,0.769,0.02,18.0,0.167,0.414,1.0,0.0,0
51.0,Jeff Teague,29.0,MIN,PG,70.0,70.0,2311.0,0.446,12.3,0.713,0.209,0.272,0.157,0.073,0.287,0.477,0.651,0.394,0.44,0.379,0.368,0.104,0.56,0.013,9.0,0.096,0.409,0.0,0.0,0
52.0,Dario Å ariÄ,23.0,PHI,PF,78.0,73.0,2310.0,0.453,15.0,0.552,0.252,0.142,0.046,0.111,0.448,0.501,0.661,0.405,0.317,0.343,0.393,0.663,1.0,0.02,18.0,0.1,0.375,0.0,0.0,0
53.0,Courtney Lee,32.0,NYK,SG,76.0,69.0,2310.0,0.454,15.8,0.632,0.166,0.099,0.151,0.216,0.368,0.482,0.648,0.44,0.491,0.368,0.406,0.491,0.796,0.007,4.0,0.299,0.47,0.0,0.0,0
54.0,Spencer Dinwiddie,24.0,BRK,PG,80.0,58.0,2306.0,0.387,16.1,0.483,0.233,0.122,0.084,0.045,0.517,0.452,0.574,0.324,0.371,0.316,0.326,0.142,0.596,0.017,12.0,0.081,0.371,1.0,0.0,0
55.0,Gary Harris,23.0,DEN,SG,67.0,65.0,2304.0,0.485,14.8,0.566,0.25,0.119,0.097,0.1,0.434,0.553,0.718,0.417,0.466,0.385,0.396,0.577,0.891,0.052,46.0,0.208,0.415,1.0,0.0,0
56.0,Draymond Green,27.0,GSW,PF,70.0,70.0,2287.0,0.454,13.4,0.586,0.355,0.111,0.076,0.044,0.414,0.562,0.695,0.391,0.362,0.259,0.301,0.716,0.909,0.073,39.0,0.066,0.118,3.0,0.0,"DPOY-6,AS,DEF2"
57.0,Yogi Ferrell,24.0,DAL,SG,82.0,21.0,2282.0,0.426,17.4,0.508,0.151,0.084,0.097,0.178,0.492,0.477,0.582,0.295,0.493,0.462,0.373,0.401,0.746,0.0,0.0,0.162,0.5,1.0,0.0,0
58.0,P.J. Tucker,32.0,HOU,PF,82.0,34.0,2281.0,0.39,18.4,0.297,0.15,0.077,0.011,0.059,0.703,0.435,0.561,0.324,0.2,0.308,0.371,0.579,0.983,0.005,2.0,0.655,0.399,0.0,0.0,0
59.0,Al Horford,31.0,BOS,C,72.0,72.0,2277.0,0.489,12.8,0.7,0.198,0.255,0.143,0.104,0.3,0.514,0.738,0.438,0.38,0.462,0.429,0.572,0.948,0.062,45.0,0.159,0.528,0.0,0.0,"DPOY-5,AS,DEF2"
60.0,Trevor Ariza,32.0,HOU,SF,67.0,67.0,2269.0,0.412,18.0,0.29,0.22,0.052,0.008,0.011,0.71,0.519,0.636,0.176,0.0,0.143,0.368,0.592,0.953,0.029,19.0,0.392,0.431,2.0,0.0,0
61.0,Justin Holiday,28.0,CHI,SG,72.0,72.0,2265.0,0.371,18.4,0.426,0.13,0.068,0.075,0.151,0.574,0.387,0.539,0.283,0.305,0.347,0.359,0.705,0.957,0.024,19.0,0.301,0.356,4.0,0.0,0
62.0,Ricky Rubio,27.0,UTA,PG,77.0,77.0,2254.0,0.418,15.4,0.67,0.172,0.093,0.158,0.247,0.33,0.451,0.535,0.299,0.443,0.456,0.352,0.288,0.865,0.0,0.0,0.271,0.351,0.0,0.0,0
63.0,J.R. Smith,32.0,CLE,SG,80.0,61.0,2244.0,0.403,19.7,0.36,0.089,0.072,0.071,0.128,0.64,0.453,0.566,0.395,0.429,0.421,0.375,0.32,0.916,0.017,9.0,0.315,0.5,0.0,0.0,0
64.0,Kelly Oubre Jr.,22.0,WAS,SF,81.0,11.0,2231.0,0.403,14.9,0.533,0.242,0.148,0.063,0.08,0.467,0.456,0.644,0.333,0.26,0.27,0.341,0.531,0.921,0.067,46.0,0.271,0.29,1.0,0.0,0
65.0,Cory Joseph,26.0,IND,PG,82.0,17.0,2210.0,0.424,15.4,0.685,0.171,0.106,0.152,0.255,0.315,0.457,0.602,0.422,0.435,0.39,0.353,0.27,0.91,0.0,0.0,0.242,0.37,2.0,0.0,0
66.0,Allen Crabbe,25.0,BRK,SG,75.0,68.0,2197.0,0.407,20.0,0.357,0.083,0.096,0.065,0.112,0.643,0.461,0.739,0.456,0.37,0.312,0.378,0.743,0.94,0.007,5.0,0.137,0.384,4.0,0.0,0
67.0,Julius Randle,23.0,LAL,C,82.0,49.0,2190.0,0.558,4.9,0.95,0.545,0.315,0.041,0.048,0.05,0.575,0.728,0.389,0.351,0.256,0.222,0.534,1.0,0.116,99.0,0.111,0.4,2.0,0.0,0
68.0,DeMarre Carroll,31.0,BRK,PF,73.0,73.0,2180.0,0.414,15.1,0.502,0.21,0.175,0.066,0.051,0.498,0.457,0.606,0.365,0.346,0.3,0.371,0.461,0.931,0.015,10.0,0.251,0.408,0.0,0.0,0
69.0,Bogdan BogdanoviÄ,25.0,SAC,SG,78.0,52.0,2175.0,0.446,16.7,0.574,0.144,0.128,0.127,0.175,0.426,0.485,0.613,0.394,0.5,0.437,0.392,0.358,0.76,0.004,3.0,0.122,0.475,7.0,0.0,0
70.0,Jimmy Butler,28.0,MIN,SG,59.0,59.0,2164.0,0.474,12.1,0.783,0.251,0.168,0.208,0.155,0.217,0.509,0.662,0.49,0.432,0.385,0.35,0.332,0.757,0.047,41.0,0.205,0.439,2.0,0.0,"MVP-10,DPOY-12,AS,NBA3,DEF2"
71.0,Eric Gordon,29.0,HOU,SG,69.0,30.0,2154.0,0.428,17.7,0.373,0.234,0.089,0.027,0.022,0.627,0.544,0.661,0.384,0.269,0.333,0.359,0.386,0.849,0.012,11.0,0.122,0.459,5.0,1.0,6MOY-2
72.0,Derrick Favors,26.0,UTA,C,77.0,77.0,2153.0,0.563,7.4,0.91,0.48,0.179,0.12,0.131,0.09,0.596,0.769,0.413,0.405,0.391,0.222,0.785,1.0,0.226,150.0,0.873,0.236,1.0,0.0,0
73.0,Jaylen Brown,21.0,BOS,SG,70.0,70.0,2152.0,0.465,12.4,0.619,0.356,0.136,0.055,0.071,0.381,0.507,0.622,0.321,0.409,0.368,0.395,0.536,0.967,0.077,54.0,0.376,0.426,2.0,0.0,DPOY-10
74.0,T.J. Warren,24.0,PHO,SF,65.0,65.0,2142.0,0.498,8.8,0.915,0.378,0.182,0.188,0.167,0.085,0.523,0.682,0.415,0.425,0.393,0.222,0.617,1.0,0.041,44.0,0.411,0.216,0.0,0.0,0
75.0,Wesley Matthews,31.0,DAL,SF,63.0,63.0,2131.0,0.406,18.4,0.423,0.096,0.118,0.106,0.103,0.577,0.441,0.507,0.439,0.459,0.361,0.381,0.392,0.882,0.0,0.0,0.209,0.464,1.0,0.0,0
76.0,JJ Redick,33.0,PHI,SG,70.0,70.0,2116.0,0.46,20.1,0.477,0.075,0.043,0.063,0.297,0.523,0.504,0.606,0.421,0.491,0.49,0.42,0.768,0.902,0.0,0.0,0.133,0.492,1.0,0.0,0
77.0,Patty Mills,29.0,SAS,PG,82.0,36.0,2107.0,0.411,19.9,0.393,0.111,0.043,0.023,0.216,0.607,0.47,0.579,0.379,0.438,0.435,0.372,0.476,0.76,0.0,0.0,0.147,0.459,2.0,0.0,0
78.0,Denzel Valentine,24.0,CHI,SG,77.0,37.0,2095.0,0.417,17.6,0.487,0.117,0.121,0.125,0.125,0.513,0.45,0.607,0.414,0.411,0.378,0.386,0.487,0.79,0.004,2.0,0.219,0.37,2.0,0.0,0
79.0,Serge Ibaka,28.0,TOR,PF,76.0,76.0,2093.0,0.483,15.1,0.621,0.162,0.154,0.154,0.151,0.379,0.559,0.724,0.479,0.521,0.5,0.36,0.699,0.953,0.06,45.0,0.152,0.444,0.0,0.0,0
80.0,Jae Crowder,27.0,2TM,SF,80.0,47.0,2090.0,0.404,16.1,0.492,0.255,0.069,0.043,0.125,0.508,0.488,0.661,0.283,0.345,0.298,0.323,0.807,0.927,0.007,3.0,0.261,0.382,0.0,0.0,0
80.0,Jae Crowder,27.0,CLE,SF,53.0,47.0,1346.0,0.418,15.9,0.497,0.279,0.064,0.024,0.13,0.503,0.508,0.676,0.25,0.222,0.327,0.328,0.832,0.952,0.003,0.0,0.254,0.396,0.0,0.0,0
80.0,Jae Crowder,27.0,UTA,SF,27.0,0.0,744.0,0.386,16.4,0.485,0.224,0.075,0.068,0.119,0.515,0.462,0.636,0.318,0.4,0.257,0.316,0.773,0.896,0.014,3.0,0.27,0.366,0.0,0.0,0
81.0,Jusuf NurkiÄ,23.0,POR,C,79.0,79.0,2088.0,0.505,5.9,0.993,0.466,0.304,0.091,0.131,0.007,0.508,0.643,0.391,0.402,0.376,0.0,0.694,0.0,0.068,61.0,0.0,0.0,1.0,0.0,DPOY-15
82.0,Dennis SchrÃ¶der,24.0,ATL,PG,67.0,67.0,2078.0,0.436,12.4,0.771,0.29,0.126,0.161,0.194,0.229,0.48,0.578,0.333,0.432,0.468,0.29,0.193,0.566,0.002,0.0,0.053,0.214,6.0,0.0,0
83.0,Marcin Gortat,33.0,WAS,C,82.0,82.0,2075.0,0.518,5.5,1.0,0.411,0.352,0.216,0.021,0.0,0.518,0.652,0.437,0.421,0.25,0.0,0.755,0.0,0.066,28.0,0.0,0.0,0.0,0.0,0
84.0,Al-Farouq Aminu,27.0,POR,PF,69.0,67.0,2072.0,0.395,16.5,0.418,0.215,0.12,0.026,0.057,0.582,0.432,0.608,0.314,0.133,0.152,0.369,0.486,0.96,0.041,23.0,0.28,0.474,0.0,0.0,0
85.0,Dragan Bender,20.0,PHO,PF,82.0,37.0,2069.0,0.386,17.8,0.335,0.18,0.099,0.025,0.031,0.665,0.426,0.575,0.313,0.167,0.133,0.366,0.507,0.992,0.021,9.0,0.255,0.378,0.0,0.0,0
86.0,Terry Rozier,23.0,BOS,PG,80.0,16.0,2068.0,0.395,16.8,0.498,0.18,0.121,0.085,0.111,0.503,0.41,0.535,0.309,0.368,0.348,0.381,0.264,0.706,0.014,10.0,0.157,0.365,3.0,0.0,6MOY-10
87.0,Austin Rivers,25.0,LAC,SG,61.0,59.0,2057.0,0.424,13.7,0.553,0.288,0.176,0.065,0.024,0.447,0.461,0.569,0.345,0.346,0.316,0.378,0.215,0.515,0.004,3.0,0.153,0.345,0.0,0.0,0
88.0,Tony Snell,26.0,MIL,SG,75.0,59.0,2053.0,0.435,18.0,0.369,0.167,0.082,0.052,0.068,0.631,0.49,0.648,0.257,0.409,0.448,0.403,0.623,1.0,0.035,12.0,0.366,0.439,0.0,0.0,0
89.0,Tyler Johnson,25.0,MIA,PG,72.0,39.0,2052.0,0.435,16.0,0.544,0.198,0.118,0.082,0.146,0.456,0.491,0.638,0.429,0.379,0.404,0.367,0.532,0.95,0.031,21.0,0.287,0.366,1.0,0.0,0
90.0,Dennis Smith Jr.,20.0,DAL,PG,69.0,69.0,2049.0,0.395,13.3,0.669,0.317,0.11,0.092,0.148,0.331,0.435,0.606,0.257,0.223,0.336,0.313,0.191,0.585,0.049,40.0,0.068,0.304,2.0,0.0,ROY-5
91.0,Willie Cauley-Stein,24.0,SAC,C,73.0,57.0,2044.0,0.502,6.2,0.984,0.459,0.301,0.076,0.146,0.016,0.506,0.676,0.339,0.288,0.434,0.25,0.678,1.0,0.191,134.0,0.25,0.333,3.0,0.0,0
92.0,Ish Smith,29.0,DET,PG,82.0,35.0,2043.0,0.486,10.9,0.874,0.257,0.222,0.191,0.203,0.126,0.506,0.67,0.382,0.516,0.423,0.347,0.203,0.629,0.002,2.0,0.277,0.286,3.0,1.0,0
93.0,Wayne Ellington,30.0,MIA,SG,77.0,2.0,2041.0,0.407,22.0,0.173,0.077,0.026,0.017,0.053,0.827,0.479,0.648,0.278,0.333,0.378,0.392,0.655,0.947,0.006,3.0,0.204,0.5,1.0,0.0,6MOY-5
94.0,Evan Turner,29.0,POR,SF,79.0,40.0,2034.0,0.447,13.3,0.771,0.128,0.184,0.315,0.144,0.229,0.485,0.676,0.443,0.451,0.446,0.318,0.236,0.976,0.014,8.0,0.417,0.327,0.0,0.0,0
95.0,Clint Capela,23.0,HOU,C,74.0,74.0,2034.0,0.652,1.7,0.999,0.802,0.18,0.016,0.0,0.001,0.653,0.718,0.385,0.455,0.0,0.0,0.819,0.0,0.351,213.0,0.0,0.0,0.0,0.0,DPOY-14
96.0,Jonathon Simmons,28.0,ORL,SG,69.0,50.0,2029.0,0.465,11.8,0.732,0.269,0.229,0.114,0.118,0.268,0.512,0.688,0.414,0.333,0.467,0.338,0.351,0.855,0.038,27.0,0.27,0.345,2.0,0.0,0
97.0,De'Aaron Fox,20.0,SAC,PG,73.0,61.0,2026.0,0.412,12.0,0.808,0.238,0.223,0.146,0.201,0.192,0.436,0.647,0.354,0.336,0.35,0.307,0.217,0.617,0.034,22.0,0.203,0.29,2.0,0.0,0
